net/minecraft/class_2960	net/minecraft/resources/Identifier
net/minecraft/class_4970$class_4971	net/minecraft/world/level/block/state/BlockBehaviour$BlockStateBase
net/minecraft/class_1792	net/minecraft/world/item/Item
net/minecraft/class_1802	net/minecraft/world/item/Items
net/minecraft/class_1747	net/minecraft/world/item/BlockItem
net/minecraft/class_1793	net/minecraft/world/item/Item$Properties
net/minecraft/class_3737	net/minecraft/world/level/block/SimpleWaterloggedBlock
net/minecraft/class_265	net/minecraft/world/phys/shapes/VoxelShape
net/minecraft/class_259	net/minecraft/world/phys/shapes/Shapes
net/minecraft/class_2540	net/minecraft/network/FriendlyByteBuf
net/minecraft/class_1263	net/minecraft/world/Container
net/minecraft/class_1661	net/minecraft/world/entity/player/Inventory
net/minecraft/class_1735	net/minecraft/world/inventory/Slot
net/minecraft/class_2561	net/minecraft/network/chat/Component
net/minecraft/class_5250	net/minecraft/network/chat/MutableComponent
net/minecraft/class_2371	net/minecraft/core/NonNullList
net/minecraft/class_1277	net/minecraft/world/SimpleContainer
net/minecraft/class_3908	net/minecraft/world/MenuProvider
net/minecraft/class_3917	net/minecraft/world/inventory/MenuType
net/minecraft/class_1935	net/minecraft/world/level/ItemLike
net/minecraft/class_2769	net/minecraft/world/level/block/state/properties/Property
net/minecraft/class_3222	net/minecraft/server/level/ServerPlayer
net/minecraft/class_2189	net/minecraft/world/level/block/AirBlock
net/minecraft/class_2404	net/minecraft/world/level/block/LiquidBlock
net/minecraft/class_2526	net/minecraft/world/level/block/TallGrassBlock
net/minecraft/class_2311	net/minecraft/world/level/block/DryVegetationBlock
net/minecraft/class_2487	net/minecraft/nbt/CompoundTag
net/minecraft/class_1301	net/minecraft/world/entity/EntitySelector
net/minecraft/class_238	net/minecraft/world/phys/AABB
net/minecraft/class_3610	net/minecraft/world/level/material/FluidState
net/minecraft/class_3611	net/minecraft/world/level/material/Fluid
net/minecraft/class_9331	net/minecraft/core/component/DataComponentType
net/minecraft/class_9334	net/minecraft/core/component/DataComponents
net/minecraft/class_9331$class_9332	net/minecraft/core/component/DataComponentType$Builder
net/minecraft/class_1761	net/minecraft/world/item/CreativeModeTab
net/minecraft/class_7706	net/minecraft/world/item/CreativeModeTabs
net/minecraft/class_1936	net/minecraft/world/level/LevelAccessor
net/minecraft/class_3609	net/minecraft/world/level/material/FlowingFluid
net/minecraft/class_4538	net/minecraft/world/level/LevelReader
net/minecraft/class_2394	net/minecraft/core/particles/ParticleOptions
net/minecraft/class_3414	net/minecraft/sounds/SoundEvent
net/minecraft/class_2400	net/minecraft/core/particles/SimpleParticleType
net/minecraft/class_5348	net/minecraft/network/chat/FormattedText
net/minecraft/class_2520	net/minecraft/nbt/Tag
net/minecraft/class_2499	net/minecraft/nbt/ListTag
net/minecraft/class_2519	net/minecraft/nbt/StringTag
net/minecraft/class_2497	net/minecraft/nbt/IntTag
net/minecraft/class_2489	net/minecraft/nbt/DoubleTag
net/minecraft/class_2503	net/minecraft/nbt/LongTag
net/minecraft/class_2494	net/minecraft/nbt/FloatTag
net/minecraft/class_2481	net/minecraft/nbt/ByteTag
net/minecraft/class_1304	net/minecraft/world/entity/EquipmentSlot
net/minecraft/class_26	net/minecraft/world/level/storage/SavedDataStorage
net/minecraft/class_18	net/minecraft/world/level/saveddata/SavedData
net/minecraft/class_239	net/minecraft/world/phys/HitResult
net/minecraft/class_239$class_240	net/minecraft/world/phys/HitResult$Type
net/minecraft/class_1311	net/minecraft/world/entity/MobCategory
net/minecraft/class_1278	net/minecraft/world/WorldlyContainer
net/minecraft/class_2392	net/minecraft/core/particles/ItemParticleOption
net/minecraft/class_1268	net/minecraft/world/InteractionHand
net/minecraft/class_1923	net/minecraft/world/level/ChunkPos
net/minecraft/class_5568	net/minecraft/world/level/entity/EntityAccess
net/minecraft/class_2760	net/minecraft/world/level/block/state/properties/Half
net/minecraft/class_2778	net/minecraft/world/level/block/state/properties/StairsShape
net/minecraft/class_3468	net/minecraft/stats/Stats
net/minecraft/class_3448	net/minecraft/stats/StatType
net/minecraft/class_3419	net/minecraft/sounds/SoundSource
net/minecraft/class_3417	net/minecraft/sounds/SoundEvents
net/minecraft/class_1860	net/minecraft/world/item/crafting/Recipe
net/minecraft/class_3955	net/minecraft/world/item/crafting/CraftingRecipe
net/minecraft/class_7710	net/minecraft/data/recipes/RecipeCategory
net/minecraft/class_3956	net/minecraft/world/item/crafting/RecipeType
net/minecraft/class_1869	net/minecraft/world/item/crafting/ShapedRecipe
net/minecraft/class_1867	net/minecraft/world/item/crafting/ShapelessRecipe
net/minecraft/class_1856	net/minecraft/world/item/crafting/Ingredient
net/minecraft/class_3532	net/minecraft/util/Mth
net/minecraft/class_1778	net/minecraft/world/item/FireChargeItem
net/minecraft/class_1744	net/minecraft/world/item/ArrowItem
net/minecraft/class_1825	net/minecraft/world/item/SpectralArrowItem
net/minecraft/class_1823	net/minecraft/world/item/SnowballItem
net/minecraft/class_4185	net/minecraft/client/gui/components/Button
net/minecraft/class_4185$class_4241	net/minecraft/client/gui/components/Button$OnPress
net/minecraft/class_310	net/minecraft/client/Minecraft
net/minecraft/class_327	net/minecraft/client/gui/Font
net/minecraft/class_437	net/minecraft/client/gui/screens/Screen
net/minecraft/class_364	net/minecraft/client/gui/components/events/GuiEventListener
net/minecraft/class_827	net/minecraft/client/renderer/blockentity/BlockEntityRenderer
net/minecraft/class_638	net/minecraft/client/multiplayer/ClientLevel
net/minecraft/class_746	net/minecraft/client/player/LocalPlayer
net/minecraft/class_1074	net/minecraft/client/resources/language/I18n
net/minecraft/class_342	net/minecraft/client/gui/components/EditBox
net/minecraft/class_339	net/minecraft/client/gui/components/AbstractWidget
